Time_s,Command_deg,Response_deg,Error_deg,ActuatorCommand,Disturbance_deg_s2
14.04,-2,-2.18582053481034,0.106376054234002,-0.310844470651112,0
14.06,-2,-2.20202259499583,0.123949111126789,-0.298584406847555,0
14.08,-2,-2.21793527596747,0.141218904621509,-0.286499229639106,0
14.1,-2,-2.23356159960598,0.158188505888838,-0.274588758666287,0
14.12,-2,-2.24890457123065,0.174860975196556,-0.262852654702193,0
14.14,-2,-2.2639671799391,0.191239360657875,-0.251290436885549,0
14.16,-2,-2.27875239888806,0.207326697331807,-0.239901498221084,0
14.18,-2,-2.29326318552204,0.223126006584625,-0.228685119507263,0
14.2,-2,-2.30750248175624,0.23864029564316,-0.217640481840358,0
14.22,-2,-2.32147321411906,0.253872557287364,-0.206766677832476,0
14.24,-2,-2.33517829385936,0.268825769642394,-0.196062721670046,0
14.26,-2,-2.3486206170228,0.283502896040422,-0.185527558128419,0
14.28,-2,-2.36180306450125,0.297906884929898,-0.175160070647973,0
14.3,-2,-2.37472850205882,0.31204066981581,-0.164959088567445,0
14.32,-2,-2.38739978033762,0.325907169218915,-0.154923393601135,0
14.34,-2,-2.39981973484606,0.339509286645266,-0.145051725638342,0
14.36,-2,-2.41199118593226,0.352849910559895,-0.135342787935617,0
14.38,-2,-2.42391693874459,0.365931914360418,-0.125795251765461,0
14.4,-2,-2.43559978318156,0.378758156347781,-0.116407760578609,0
14.42,-2,-2.44704249383262,0.391331479692363,-0.107178933731251,0
14.44,-2,-2.45824782991143,0.403654712394484,-0.0981073698232239,0
14.46,-2,-2.46921853518314,0.415730667238923,-0.0891916496884424,0
14.48,-2,-2.47995733788668,0.427562141743364,-0.0804303390745271,0
14.5,-2,-2.49046695065323,0.439151918101086,-0.0718219910446905,0
14.52,-2,-2.50075007042189,0.450502763118286,-0.0633651481314581,0
14.54,-2,-2.51080937835324,0.461617428146614,-0.0550583442686648,0
14.56,-2,-2.52064753974163,0.472498649011509,-0.0469001065253429,0
14.58,-2,-2.53026720392687,0.483149145936993,-0.038888956662614,0
14.6,-2,-2.53967100420575,0.493571623467551,-0.0310234125324154,0
14.62,-2,-2.54886155774408,0.503768770387734,-0.0233019893348814,0
14.64,-2,-2.55784146548949,0.513743259640085,-0.0157232007494006,0
14.66,-2,-2.5666133120856,0.523497748241928,-0.00828555995273465,0
14.68,-2,-2.57517966578764,0.533034877201583,-0.000987580536154759,0
14.7,-2,-2.58354307838002,0.542357271434438,0.00617222266774395,0
14.72,-2,-2.59170608509595,0.551467539679372,0.0131953328390425,0
14.74,-2,-2.59967120453945,0.560368274415865,0.0200832304968223,0
14.76,-2,-2.60744093860979,0.5690620517822,0.0268373928902566,0
14.78,-2,-2.61501777242869,0.577551431495054,0.0334592934477217,0
14.8,-2,-2.6224041742702,0.585838956770754,0.0399504012779022,0
14.82,-2,-2.62960259549362,0.593927154248456,0.0463121807175313,0
14.84,-2,-2.63661547047927,0.601818533915468,0.0525460909209753,0
14.86,-2,-2.64344521656743,0.609515589034896,0.0586535854873951,0
14.88,-2,-2.65009423400039,0.617020796075771,0.0646361121216731,0
14.9,-2,-2.65656490586759,0.624336614645833,0.0704951123257132,0
14.92,-2,-2.6628595980541,0.631465487427032,0.0762320211170736,0
14.94,-2,-2.6689806591922,0.63840984011391,0.081848266772236,0
14.96,-2,-2.67493042061622,0.645172081354893,0.0873452705920966,0
14.98,-2,-2.68071119632069,0.651754602696593,0.0927244466875167,0
15,3,-2.68632528292168,5.65815977853116,0.0979872017830168,0
15.02,3,-2.69177495962129,5.66438996604674,0.418616984593783,0
15.04,3,-2.69706248817555,5.67044750518103,0.706219730833733,0
15.06,3,-2.70208915860943,5.67633471857798,0.964258020324653,0
15.08,3,-2.70676919863903,5.68203158054538,1.19583044310121,0
15.1,3,-2.71102835514142,5.68750352229637,1.40370846684802,0
15.12,3,-2.71480262614596,5.69270719690007,1.59036991863951,0
15.14,3,-2.718037127937,5.69759468854696,1.75802930870004,0
15.16,3,-2.72068508331109,5.70211654013215,1.90866523042471,0
15.18,3,-2.72270691837742,5.70622388734284,2.04404506978468,0
15.2,3,-2.72406945652842,5.7098699209003,2.16574725084671,0
15.22,3,-2.72474519934146,5.71301084706199,2.27518123423219,0
15.24,3,-2.72471168520672,5.71560647659737,2.37360547323662,0
15.26,3,-2.72395091741626,5.71762054161173,2.46214351899232,0
15.28,3,-2.72244885430134,5.71902081578256,2.54179845218111,0
15.3,3,-2.72019495477509,5.71977909521851,2.61346580489091,0
15.32,3,-2.71718177333278,5.71987108302678,2.67794512260583,0
15.34,3,-2.71340459918752,5.71927620982839,2.73595030325762,0
15.36,3,-2.70886113478251,5.71797741415252,2.78811883789601,0
15.38,3,-2.70355120942618,5.71596090029457,2.83502006594345,0
15.4,3,-2.69747652425027,5.71321588639216,2.87716254722786,0
15.42,3,-2.69064042509749,5.70973435181142,2.91500064304354,0
15.44,3,-2.68304770030925,5.7055107901742,2.94894038936267,0
15.46,3,-2.67470440071016,5.70054197228628,2.979344736978,0
15.48,3,-2.66561767937686,5.69482672168631,3.00653822576237,0
15.5,3,-2.65579564903972,5.68836570440022,3.03081115333754,0
15.52,3,-2.64524725519842,5.68116123365916,3.05242329220521,0
15.54,3,-2.63398216324025,5.67321708974685,3.07160720375721,0
15.56,3,-2.62201065803558,5.66453835472734,3.08857119250186,0
15.58,3,-2.6093435546506,5.65513126152135,3.10350193927077,0
15.6,3,-2.59599211896527,5.64500305661658,3.11656684806165,0
15.62,3,-2.58196799711582,5.63416187558718,3.12791613748347,0
15.64,3,-2.56728315279938,5.62261663054085,3.13768470446287,0
15.66,3,-2.55194981158254,5.6103769085945,3.14599378490701,0
15.68,3,-2.53598041144947,5.59745288048804,3.15295243336495,0
15.7,3,-2.51938755890843,5.58385521847404,3.15865884135622,0
15.72,3,-2.5021839900497,5.56959502266091,3.16320151191282,0
15.74,3,-2.48438253601433,5.55468375503496,3.16666030598455,0
15.76,3,-2.46599609239201,5.53913318043847,3.1691073746631,0
15.78,3,-2.44703759211871,5.52295531383416,3.17060798966779,0
15.8,3,-2.42751998149207,5.5061623732397,3.17122128318539,0
15.82,3,-2.40745619896378,5.48876673776773,3.17100090695133,0
15.84,3,-2.38685915640556,5.47078091025626,3.16999561938463,0
15.86,3,-2.3657417225785,5.45221748402121,3.16824980862999,0
15.88,3,-2.34411670856509,5.43308911330678,3.16580395850497,0
15.9,3,-2.32199685494924,5.41340848704966,3.16269506358828,0
15.92,3,-2.29939482055345,5.39318830561088,3.15895699900483,0
15.94,3,-2.27632317256281,5.37244126016317,3.15462084985766,0
15.96,3,-2.25279437788426,5.3511800144533,3.14971520471656,0
15.98,3,-2.22882079560604,5.3294171886872,3.14426641709208,0
16,3,-2.20441467043699,5.30716534531181,3.13829883839444,0
16.02,3,-2.17958812701853,5.28443697649062,3.13183502549498,0
16.04,3,-2.15435316501383,5.26124449309153,3.124895925667,0
16.06,3,-2.12872165488908,5.23760021502428,3.11750104137956,0
16.08,3,-2.10270533431112,5.21351636278207,3.10966857714753,0
16.1,3,-2.07631580509377,5.18900505005724,3.10141557040027,0
16.12,3,-2.04956453063296,5.16407827731504,3.092758008117,0
